seed,mode,N,K,p_max_layers,mixer,warm_start,formulation,best_energy,optimal_energy,energy_gap,cvar,overlap,gate_single,gate_two,layers_used,duration_sec,shots,noise_p,objective,pairs_mode
10,standard,12,6,1,xy,0,mvo,-0.00836071173981912,-0.016377773558908123,0.008017061819089002,-0.0033151126732269666,0.0,0,12,1,1.4454925060272217,1024,0.005,expectation,all
20,standard,12,6,1,xy,0,mvo,0.001496201918788996,-0.007780343701441528,0.009276545620230524,0.006491583165602526,0.0,0,12,1,1.464425802230835,1024,0.005,expectation,all
30,standard,12,6,1,xy,0,mvo,0.0007518911608694329,-0.007594810763814287,0.00834670192468372,0.0056324069664074805,0.0009765625,0,12,1,1.490286111831665,1024,0.005,expectation,all
10,standard,12,6,1,xy,0,mvo,-0.00836071173981912,-0.016377773558908123,0.008017061819089002,-0.0033151126732269666,0.0,0,12,1,1.4454798698425293,1024,0.01,expectation,all
20,standard,12,6,1,xy,0,mvo,0.001496201918788996,-0.007780343701441528,0.009276545620230524,0.006491583165602526,0.0,0,12,1,1.5031859874725342,1024,0.01,expectation,all
30,standard,12,6,1,xy,0,mvo,0.0007518911608694329,-0.007594810763814287,0.00834670192468372,0.0056324069664074805,0.0009765625,0,12,1,1.440972089767456,1024,0.01,expectation,all
10,standard,12,6,1,xy,0,mvo,-0.00836071173981912,-0.016377773558908123,0.008017061819089002,-0.0033151126732269666,0.0,0,12,1,1.4612431526184082,1024,0.02,expectation,all
20,standard,12,6,1,xy,0,mvo,0.001496201918788996,-0.007780343701441528,0.009276545620230524,0.006491583165602526,0.0,0,12,1,1.441039800643921,1024,0.02,expectation,all
30,standard,12,6,1,xy,0,mvo,0.0007518911608694329,-0.007594810763814287,0.00834670192468372,0.0056324069664074805,0.0009765625,0,12,1,1.452486276626587,1024,0.02,expectation,all
10,standard,12,6,1,xy,0,mvo,-0.00836071173981912,-0.016377773558908123,0.008017061819089002,-0.0033151126732269666,0.0,0,12,1,1.454153060913086,1024,0.05,expectation,all
20,standard,12,6,1,xy,0,mvo,0.001496201918788996,-0.007780343701441528,0.009276545620230524,0.006491583165602526,0.0,0,12,1,1.4411430358886719,1024,0.05,expectation,all
30,standard,12,6,1,xy,0,mvo,0.0007518911608694329,-0.007594810763814287,0.00834670192468372,0.0056324069664074805,0.0009765625,0,12,1,1.514085054397583,1024,0.05,expectation,all
10,standard,12,6,1,xy,0,mvo,-0.00836071173981912,-0.016377773558908123,0.008017061819089002,-0.0033151126732269666,0.0,0,12,1,1.4505751132965088,1024,0.1,expectation,all
20,standard,12,6,1,xy,0,mvo,0.001496201918788996,-0.007780343701441528,0.009276545620230524,0.006491583165602526,0.0,0,12,1,1.4589014053344727,1024,0.1,expectation,all
30,standard,12,6,1,xy,0,mvo,0.0007518911608694329,-0.007594810763814287,0.00834670192468372,0.0056324069664074805,0.0009765625,0,12,1,1.509403944015503,1024,0.1,expectation,all
